"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.089630500E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
4.582838900E-2,4.927118123E-2,-3.222513199E-2,2.755346298E-1,2.817542203E-1
5.076047200E-2,1.453189552E-1,-1.186380386E-1,3.393640518E-1,3.877635138E-1
5.567109700E-2,1.914109290E-1,-2.403154373E-1,3.659954071E-1,4.778517460E-1
6.062573200E-2,2.219033837E-1,-3.548650742E-1,3.628435135E-1,5.539185390E-1
6.558864900E-2,2.345927358E-1,-4.529640675E-1,3.023414612E-1,5.929760174E-1
7.054370100E-2,2.802290916E-1,-5.378546715E-1,2.618093491E-1,6.605756026E-1
7.549875300E-2,2.690492272E-1,-6.277234554E-1,1.860427856E-1,7.078390645E-1
8.045380500E-2,2.800948620E-1,-7.068402767E-1,3.646659851E-2,7.611873103E-1
8.538677400E-2,2.722498178E-1,-7.710351944E-1,-1.197433472E-1,8.264101303E-1
9.034068000E-2,2.589495182E-1,-7.987380028E-1,-2.703399658E-1,8.821116410E-1
9.529463900E-2,2.049608231E-1,-7.976558208E-1,-4.646463394E-1,9.456003216E-1
1.002485970E-1,1.269468069E-1,-7.702715397E-1,-6.554756165E-1,1.019353727E0
1.051961490E-1,4.484033585E-2,-7.092208862E-1,-8.630704880E-1,1.117987293E0
1.101497950E-1,-7.418012619E-2,-6.235389709E-1,-1.054549217E0,1.227345750E0
1.151033890E-1,-1.442425251E-1,-5.212779045E-1,-1.236851692E0,1.349940246E0
1.200570340E-1,-2.166637182E-1,-3.740804195E-1,-1.386850357E0,1.452664187E0
1.250085970E-1,-2.944442630E-1,-2.524054050E-1,-1.565875053E0,1.613186473E0
1.299620870E-1,-3.304112554E-1,-1.347947121E-1,-1.677972794E0,1.715498152E0
1.349156280E-1,-3.471735120E-1,1.272201538E-3,-1.831683159E0,1.864294574E0
1.398691700E-1,-3.477222919E-1,8.555722237E-2,-1.886429787E0,1.920116708E0
1.448230760E-1,-3.852224350E-1,1.397306919E-1,-1.935974121E0,1.978867552E0
1.497766180E-1,-3.986241221E-1,1.747014523E-1,-1.973595619E0,2.021014957E0
1.547301590E-1,-3.910985589E-1,1.731922626E-1,-2.022651672E0,2.067383233E0
1.596837010E-1,-3.658055663E-1,1.570773125E-1,-1.983572960E0,2.023128439E0
1.646398990E-1,-3.213769197E-1,1.726977825E-1,-1.838505745E0,1.874356162E0
1.695935970E-1,-1.569374204E-1,9.819340706E-2,-1.691900253E0,1.701998169E0
1.745472430E-1,-3.814321756E-2,3.273534775E-2,-1.478187561E0,1.479041911E0
1.795009410E-1,-5.380797386E-2,-4.601836205E-2,-1.321097374E0,1.322993295E0
1.844486490E-1,1.801494360E-1,2.616167068E-3,-1.139147758E0,1.153307539E0
1.894019820E-1,3.209417462E-1,2.773547173E-2,-8.302087784E-1,8.905164101E-1
1.943553680E-1,3.341307044E-1,-1.287078857E-2,-5.686016083E-1,6.596338179E-1
1.993087530E-1,3.684641719E-1,1.215934753E-2,-5.215730667E-1,6.387113273E-1
2.042648990E-1,3.011083007E-1,2.964196205E-1,-4.687814713E-1,6.310997290E-1
2.092183890E-1,3.479701877E-1,3.364708424E-1,-6.712341309E-1,8.275573320E-1
2.141719300E-1,3.989360332E-1,2.841825485E-1,-9.362316132E-1,1.056616919E0
2.191254200E-1,4.462171197E-1,2.559158802E-1,-1.071508408E0,1.188584420E0
2.240762530E-1,4.995712042E-1,2.038798332E-1,-1.150622368E0,1.270854125E0
2.290295870E-1,4.881309271E-1,1.332705021E-1,-1.074824333E0,1.187973138E0
2.339829720E-1,4.910101891E-1,7.201647758E-2,-9.131040573E-1,1.039247997E0
2.389363570E-1,4.250155687E-1,1.476430893E-2,-7.255315781E-1,8.409829304E-1
2.438922430E-1,3.270655274E-1,3.211736679E-3,-6.501903534E-1,7.278253019E-1
2.488457320E-1,3.010951877E-1,-1.065473557E-1,-6.888513565E-1,7.592936470E-1
2.537992220E-1,2.916198969E-1,-2.610764503E-1,-7.850360870E-1,8.772027902E-1
2.587527640E-1,2.612329125E-1,-3.073863983E-1,-9.000635147E-1,9.863282227E-1
2.637159410E-1,1.934334636E-1,-3.415424824E-1,-1.003129959E0,1.077189624E0
2.686698990E-1,1.659408212E-1,-3.941388130E-1,-1.115682602E0,1.194834477E0
2.736239090E-1,1.193382740E-1,-4.648976326E-1,-1.235232353E0,1.325205795E0
2.785778680E-1,8.054059744E-2,-4.363689423E-1,-1.291307449E0,1.365422854E0
2.835252640E-1,7.810527086E-2,-4.092190266E-1,-1.311038971E0,1.375639425E0
2.884789090E-1,8.803665638E-2,-3.621563911E-1,-1.271694183E0,1.325184440E0
2.934325550E-1,1.016647816E-1,-2.865598202E-1,-1.167262077E0,1.206214332E0
2.983862530E-1,1.173502207E-1,-1.831243038E-1,-1.095256805E0,1.116643656E0
3.033356800E-1,1.267867088E-1,-7.861661911E-2,-9.045333862E-1,9.167530143E-1
3.082891180E-1,1.378551722E-1,-1.090717316E-2,-7.452926636E-1,7.580133042E-1
3.132425550E-1,1.676093340E-1,8.365273476E-2,-6.261930466E-1,6.536118117E-1
3.181959930E-1,1.976594925E-1,1.761872768E-1,-5.323801041E-1,5.945921347E-1
3.231510970E-1,6.848204136E-2,1.581509113E-1,-5.504579544E-1,5.768062589E-1
3.281046390E-1,-1.351675987E-1,1.094238758E-1,-7.613105774E-1,7.809210329E-1
3.330581280E-1,-8.220088482E-2,1.322131157E-1,-9.926776886E-1,1.004811568E0
3.380116700E-1,-2.896801829E-1,-3.530168533E-2,-1.070322037E0,1.109391761E0
3.429638050E-1,-2.420302033E-1,-3.815603256E-2,-1.227928162E0,1.252135006E0
3.479172430E-1,-1.307858825E-1,3.450369835E-2,-1.329930305E0,1.336790960E0
3.528706800E-1,-7.502365112E-2,5.962443352E-2,-1.296930313E0,1.300466016E0
3.578241700E-1,-3.211450577E-2,1.068894863E-1,-1.284087181E0,1.288928467E0
3.627802120E-1,-1.172970533E-1,8.229327202E-2,-1.425502777E0,1.432685921E0
3.677338050E-1,-1.642370820E-1,1.480720043E-1,-1.584546089E0,1.599901699E0
3.726873990E-1,-1.550534964E-1,1.903471947E-1,-1.579434395E0,1.598401279E0
3.776409930E-1,-7.034158707E-2,1.885313988E-1,-1.488070488E0,1.501614399E0
3.825902120E-1,-1.540482044E-3,1.834352016E-1,-1.387151718E0,1.399228622E0
3.875435450E-1,5.558961630E-2,1.723468304E-1,-1.210464478E0,1.223935410E0
3.924969300E-1,1.053631306E-1,1.571640968E-1,-1.022565842E0,1.039924441E0
3.974503160E-1,1.668523550E-1,1.799142361E-1,-7.784938812E-1,8.162484694E-1
4.024081280E-1,2.260954976E-1,1.778521538E-1,-5.874261856E-1,6.540795717E-1
4.073617220E-1,2.654992938E-1,9.880256653E-2,-5.785388947E-1,6.441731714E-1
4.123153160E-1,2.231760621E-1,1.705865860E-1,-2.601728439E-1,3.828801989E-1
4.172689090E-1,1.348815560E-1,2.273237705E-1,-4.817008972E-3,2.643715839E-1
4.222084410E-1,7.650607824E-2,1.952590942E-1,-2.422237396E-2,2.111066491E-1
4.271613050E-1,7.014191151E-2,1.942954063E-1,-1.826906204E-1,2.757652180E-1
4.321142220E-1,9.598380327E-2,1.936814785E-1,-3.297595978E-1,3.942927820E-1
4.370670870E-1,1.098077297E-1,1.273629665E-1,-4.349794388E-1,4.663541304E-1
4.420228160E-1,8.641523123E-2,8.658361435E-2,-4.540901184E-1,4.702788004E-1
4.469758370E-1,9.705001116E-2,8.045673370E-2,-4.022855759E-1,4.215752308E-1
4.519288570E-1,1.494501233E-1,1.580128670E-1,-2.447137833E-1,3.273961533E-1
4.568819300E-1,2.081303000E-1,2.490556240E-1,-2.018928528E-2,3.251992203E-1
4.618320340E-1,1.690612435E-1,3.172338009E-1,2.400836945E-1,4.322721005E-1
4.667848990E-1,7.916092873E-4,3.999602795E-1,4.010429382E-1,5.663958775E-1
4.717377640E-1,-1.589004099E-1,4.491140842E-1,4.379653931E-1,6.471216937E-1
4.766906800E-1,-2.960290015E-1,4.672572613E-1,3.096332550E-1,6.339047803E-1
4.816480240E-1,-3.792291582E-1,5.591186285E-1,2.096147537E-1,7.073660581E-1
4.866011490E-1,-5.486214757E-1,8.356976509E-1,1.066522598E-1,1.005361026E0
4.915542220E-1,-7.241165042E-1,1.139662385E0,1.025247574E-1,1.354136769E0
4.965073470E-1,-6.510744691E-1,9.740691185E-1,-6.458854675E-2,1.173405425E0
5.014573990E-1,-5.066128969E-1,7.000620365E-1,-1.395425797E-1,8.753374286E-1
5.064103680E-1,-3.399943113E-1,4.065604210E-1,-1.138896942E-1,5.420870503E-1
5.113632840E-1,-5.376702547E-2,1.269382238E-1,-4.079437256E-2,1.437650393E-1
5.163162530E-1,1.782803535E-1,-1.579884291E-1,-2.499485016E-2,2.395182054E-1
5.212723470E-1,2.554084063E-1,-3.033547401E-1,-3.508567810E-2,3.981062134E-1
5.262254720E-1,3.987569809E-1,-3.866058588E-1,-1.917781830E-1,5.875798595E-1
5.311785970E-1,5.692974329E-1,-3.629642725E-1,-3.918457031E-1,7.806315938E-1
5.361316700E-1,3.153616190E-1,-4.111742973E-1,-4.026212692E-1,6.562172963E-1
5.410837530E-1,2.092881203E-1,-3.787384033E-1,-4.300994873E-1,6.101064370E-1
5.460368260E-1,4.474177361E-1,-2.590999603E-1,-5.193376541E-1,7.328212735E-1
5.509898990E-1,7.079800367E-1,-1.858810186E-1,-4.182310104E-1,8.430330145E-1
5.559429200E-1,1.057534933E0,-1.091901064E-1,-1.875915527E-1,1.079580106E0
