"Time (ms)","Centre de gravité"
"-40","0"
"-6","-0.04948425"
"27","-0.1045837"
"60","-0.152504"
"94","-0.1632843"
"127","-0.08457184"
"160","0.1553421"
"194","0.6283112"
"227","1.373604"
"260","2.378319"
"294","3.589729"
"327","4.93679"
"360","6.343826"
"394","7.746567"
"427","9.097206"
"460","10.35644"
"494","11.50497"
"527","12.55634"
"560","13.53722"
"594","14.47076"
"627","15.38342"
"660","16.30736"
"694","17.27373"
"727","18.29208"
"760","19.32483"
"794","20.30513"
"827","21.17795"
"860","21.91153"
"894","22.49915"
"927","22.95776"
"960","23.30255"
"994","23.53207"
"1027","23.64419"
"1060","23.64558"
"1094","23.54346"
"1127","23.34354"
"1160","23.06422"
"1194","22.75278"
"1227","22.47602"
"1260","22.29187"
"1294","22.24092"
"1327","22.35998"
"1360","22.68677"
"1394","23.2498"
"1427","24.06188"
"1460","25.1129"
"1494","26.34904"
"1527","27.66506"
"1560","28.9407"
"1594","30.09825"
"1627","31.12604"
"1660","32.04525"
"1694","32.86142"
"1727","33.55912"
"1760","34.13711"
"1794","34.62495"
"1827","35.05775"
"1860","35.45417"
"1894","35.81726"
"1927","36.13095"
"1960","36.36312"
"1994","36.48792"
"2027","36.49529"
"2060","36.38046"
"2094","36.1404"
"2127","35.77803"
"2160","35.29151"
"2194","34.6605"
"2227","33.86503"
"2260","32.91447"
"2294","31.84138"
"2327","30.67261"
"2360","29.41029"
"2394","28.03114"
"2427","26.50262"
"2460","24.80601"
"2494","22.94539"
"2527","20.94577"
"2560","18.85177"
"2594","16.71165"
"2627","14.55313"
"2660","12.39278"
"2694","10.28468"
"2727","8.354034"
"2760","6.744965"
"2794","5.514786"
"2827","4.603111"
"2860","3.89209"
"2894","3.266785"
"2927","2.642418"
"2960","1.975464"
"2994","1.259819"
"3027","0.5037994"
"3060","-0.2861938"
"3094","-1.104218"
"3127","-1.949654"
"3160","-2.826553"
"3194","-3.726463"
"3227","-4.631241"
"3260","-5.536484"
"3294","-6.449074"
"3327","-7.360474"
"3360","-8.244057"
"3394","-9.077354"
"3427","-9.844147"
"3460","-10.5211"
"3494","-11.08851"
"3527","-11.54435"
"3560","-11.88705"
"3594","-12.10323"
"3627","-12.18415"
"3660","-12.13671"
"3694","-11.9788"
"3727","-11.74243"
"3760","-11.48199"
"3794","-11.25913"
"3827","-11.10967"
"3860","-11.03154"
"3894","-10.99921"
"3927","-10.97926"
"3960","-10.93804"
"3994","-10.84637"
"4027","-10.68616"
"4060","-10.46314"
"4094","-10.21651"
"4127","-10.00166"
"4160","-9.854378"
"4194","-9.777023"
"4227","-9.752762"
"4260","-9.761337"
"4294","-9.785912"
"4327","-9.813934"
"4360","-9.834816"
"4394","-9.836823"
"4427","-9.804871"
"4460","-9.721466"
"4494","-9.572914"
"4527","-9.362968"
"4560","-9.12326"
"4594","-8.896149"
"4627","-8.699112"
"4660","-8.513535"
"4694","-8.306717"
"4727","-8.063927"
"4760","-7.809448"
"4794","-7.594566"
"4827","-7.462639"
"4860","-7.433372"
"4894","-7.511345"
"4927","-7.690048"
"4960","-7.93885"
"4994","-8.187675"
"5027","-8.339775"
"5060","-8.310379"
"5094","-8.055939"
"5127","-7.581779"
"5160","-6.934746"
"5194","-6.192383"
"5227","-5.453613"
"5260","-4.818832"
"5294","-4.36937"
"5327","-4.155846"
"5360","-4.183685"
"5394","-4.412369"
"5427","-4.790947"
"5460","-5.296875"
"5494","-5.935989"
"5527","-6.719673"
"5560","-7.644112"
"5594","-8.671638"
"5627","-9.728065"
"5660","-10.72242"
"5694","-11.57559"
"5727","-12.24633"
"5760","-12.7291"
"5794","-13.01862"
"5827","-13.09264"
"5860","-12.93889"
"5894","-12.5799"
"5927","-12.06036"
"5960","-11.41856"
"5994","-10.67262"
"6027","-9.827682"
"6060","-8.888351"
"6094","-7.850983"
"6127","-6.688087"
"6160","-5.362427"
"6194","-3.850296"
"6227","-2.142616"
"6260","-0.2506104"
"6294","1.783333"
"6327","3.907379"
"6360","6.0952"
"6394","8.339828"
"6427","10.61188"
"6460","12.8344"
"6494","14.89317"
"6527","16.66978"
"6560","18.07764"
"6594","19.06918"
"6627","19.62771"
"6660","19.77618"
"6694","19.58082"
"6727","19.13413"
"6760","18.5315"
"6794","17.85235"
"6827","17.15545"
"6860","16.47637"
"6894","15.80546"
"6927","15.07871"
"6960","14.21951"
"6994","13.19056"
"7027","12.00408"
"7060","10.70753"
"7094","9.368195"
"7127","8.049858"
"7160","6.796921"
"7194","5.64048"
"7227","4.606873"
"7260","3.710815"
"7294","2.941544"
"7327","2.26461"
"7360","1.640778"
"7394","1.042305"
"7427","0.4598465"
"7460","-0.09600067"
"7494","-0.5972595"
"7527","-1.006844"
"7560","-1.296135"
"7594","-1.464256"
"7627","-1.5383"
"7660","-1.555046"
"7694","-1.54554"
"7727","-1.529449"
"7760","-1.514511"
"7794","-1.497765"
"7827","-1.467461"
"7860","-1.406197"
"7894","-1.296593"
"7927","-1.13179"
"7960","-0.9327621"
"7994","-0.7604599"
"8027","-0.6949997"
"8060","-0.78582"
"8094","-1.02343"
"8127","-1.362114"
"8160","-1.756889"
"8194","-2.171867"
"8227","-2.57888"
"8260","-2.964272"
"8294","-3.323837"
"8327","-3.660484"
"8360","-3.996986"
"8394","-4.366959"
"8427","-4.781746"
"8460","-5.218369"
"8494","-5.63916"
"8527","-6.020981"
"8560","-6.373718"
"8594","-6.726707"
"8627","-7.094528"
"8660","-7.467743"
"8694","-7.826668"
"8727","-8.142876"
"8760","-8.383438"
"8794","-8.533714"
"8827","-8.606461"
"8860","-8.627625"
"8894","-8.621925"
"8927","-8.607132"
"8960","-8.593475"
"8994","-8.585358"
"9027","-8.58358"
"9060","-8.587173"
"9094","-8.594498"
"9127","-8.603699"
"9160","-8.612968"
"9194","-8.620667"
"9227","-8.625618"
"9260","-8.62767"
"9294","-8.628746"
"9327","-8.634232"
"9360","-8.654442"
"9394","-8.704948"
"9427","-8.804192"
"9460","-8.965958"
"9494","-9.184479"
"9527","-9.422676"
"9560","-9.628838"
"9594","-9.773872"
"9627","-9.867004"
"9660","-9.942276"
"9694","-10.04012"
"9727","-10.19218"
"9760","-10.404"
"9794","-10.64327"
"9827","-10.85703"
"9860","-11.00881"
"9894","-11.09418"
"9927","-11.12746"
"9960","-11.12614"
"9994","-11.10316"
"10027","-11.06537"
"10060","-11.01572"
"10094","-10.95835"
"10127","-10.90559"
"10160","-10.88578"
"10194","-10.94941"
"10227","-11.1685"
"10260","-11.62143"
"10294","-12.36462"
"10327","-13.41596"
"10360","-14.76576"
"10394","-16.38737"
"10427","-18.22479"
"10460","-20.18692"
"10494","-22.1818"
"10527","-24.16676"
"10560","-26.15296"
"10594","-28.1473"
"10627","-30.09457"
"10660","-31.88346"
"10694","-33.40031"
"10727","-34.57258"
"10760","-35.3809"
"10794","-35.86264"
"10827","-36.10996"
"10860","-36.24426"
"10894","-36.37829"
"10927","-36.59715"
"10960","-36.9773"
"10994","-37.61624"
"11027","-38.61018"
"11060","-39.97819"
"11094","-41.61931"
"11127","-43.36261"
"11160","-45.04271"
"11194","-46.53059"
"11227","-47.77604"
"11260","-48.82668"
"11294","-49.73296"
"11327","-50.47022"
"11360","-50.97346"
"11394","-51.18755"
"11427","-51.08159"
"11460","-50.65134"
"11494","-49.93372"
"11527","-49.02054"
"11560","-48.03755"
"11594","-47.09531"
"11627","-46.24596"
"11660","-45.47349"
"11694","-44.72777"
"11727","-43.97565"
"11760","-43.2225"
"11794","-42.48731"
"11827","-41.77343"
"11860","-41.08155"
"11894","-40.42812"
"11927","-39.82964"
"11960","-39.29615"
"11994","-38.85789"
"12027","-38.57457"
"12060","-38.50076"
"12094","-38.65362"
"12127","-39.00884"
"12160","-39.50856"
"12194","-40.07558"
"12227","-40.62965"
"12260","-41.09829"
"12294","-41.42827"
"12327","-41.59676"
"12360","-41.60669"
"12394","-41.47084"
"12427","-41.20901"
"12460","-40.85583"
"12494","-40.4521"
"12527","-40.02674"
"12560","-39.60045"
"12594","-39.19331"
"12627","-38.821"
"12660","-38.49955"
"12694","-38.24393"
"12727","-38.04673"
"12760","-37.87207"
"12794","-37.67765"
"12827","-37.44495"
"12860","-37.19855"
"12894","-36.99306"
"12927","-36.87754"
"12960","-36.87852"
"12994","-37.00648"
"13027","-37.25661"
"13060","-37.60207"
"13094","-38.00509"
"13127","-38.43676"
"13160","-38.87493"
"13194","-39.29704"
"13227","-39.68369"
"13260","-40.01244"
"13294","-40.25762"
"13327","-40.41085"
"13360","-40.48962"
"13394","-40.52265"
"13427","-40.53466"
"13460","-40.53913"
"13494","-40.53561"
"13527","-40.50977"
"13560","-40.43604"
"13594","-40.28484"
"13627","-40.03734"
"13660","-39.69948"
"13694","-39.29349"
"13727","-38.83935"
"13760","-38.35933"
"13794","-37.89001"
"13827","-37.47342"
"13860","-37.1343"
"13894","-36.86239"
"13927","-36.62039"
"13960","-36.37856"
"13994","-36.14345"
"14027","-35.94836"
"14060","-35.8175"
"14094","-35.74901"
"14127","-35.72566"
"14160","-35.7281"
"14194","-35.7407"
"14227","-35.75302"
"14260","-35.75911"
"14294","-35.7566"
"14327","-35.74661"
"14360","-35.73473"
"14394","-35.73288"
"14427","-35.76086"
"14460","-35.8456"
"14494","-36.01491"
"14527","-36.28207"
"14560","-36.63015"
"14594","-37.01885"
"14627","-37.40411"
"14660","-37.73962"
"14694","-37.97881"
"14727","-38.09613"
