"Time (ms)","Centre de gravité"
"32","0"
"64","0.1739578"
"100","0.3869247"
"131","0.6465378"
"167","0.9129944"
"201","1.123161"
"232","1.238457"
"268","1.261742"
"300","1.218994"
"336","1.141808"
"367","1.062378"
"399","1.01461"
"434","1.035149"
"466","1.160347"
"502","1.415703"
"533","1.807999"
"566","2.343445"
"599","3.048523"
"633","3.943932"
"669","5.002693"
"700","6.152626"
"733","7.307953"
"767","8.393867"
"799","9.366302"
"834","10.2268"
"867","11.01102"
"900","11.75413"
"931","12.46146"
"965","13.10971"
"1000","13.68829"
"1034","14.23055"
"1066","14.79008"
"1100","15.40886"
"1131","16.1164"
"1165","16.93292"
"1198","17.85511"
"1232","18.83944"
"1265","19.8173"
"1298","20.73053"
"1332","21.53385"
"1363","22.17732"
"1398","22.62579"
"1431","22.88988"
"1462","23.01221"
"1497","23.02902"
"1531","22.95051"
"1564","22.76732"
"1598","22.47572"
"1631","22.10076"
"1666","21.68616"
"1701","21.26771"
"1730","20.87206"
"1763","20.51572"
"1798","20.18445"
"1831","19.82451"
"1866","19.33462"
"1897","18.556"
"1931","17.31008"
"1962","15.47459"
"1995","13.04816"
"2029","10.17734"
"2061","7.108536"
"2098","4.070786"
"2129","1.186172"
"2162","-1.529305"
"2196","-4.118904"
"2228","-6.635513"
"2263","-9.085831"
"2297","-11.41039"
"2329","-13.53089"
"2364","-15.39278"
"2396","-16.96634"
"2430","-18.24607"
"2461","-19.2527"
"2496","-20.02516"
"2528","-20.60391"
"2559","-21.01787"
"2595","-21.28322"
"2628","-21.40637"
"2662","-21.40138"
"2696","-21.30125"
"2728","-21.12839"
"2762","-20.86993"
"2794","-20.50203"
"2830","-20.02849"
"2861","-19.48927"
"2895","-18.93951"
"2927","-18.42601"
"2959","-17.9834"
"2993","-17.65437"
"3025","-17.49229"
"3058","-17.52522"
"3095","-17.72544"
"3126","-18.01254"
"3161","-18.29113"
"3193","-18.50099"
"3228","-18.63123"
"3260","-18.69754"
"3294","-18.72"
"3326","-18.71465"
"3361","-18.69404"
"3393","-18.67318"
"3426","-18.67656"
"3459","-18.74057"
"3494","-18.90569"
"3525","-19.19444"
"3558","-19.58904"
"3591","-20.0385"
"3626","-20.4837"
"3660","-20.86241"
"3693","-21.11574"
"3727","-21.21329"
"3761","-21.15952"
"3793","-20.97763"
"3827","-20.70711"
"3863","-20.40936"
"3891","-20.14502"
"3926","-19.9328"
"3959","-19.74258"
"3993","-19.5278"
"4024","-19.26518"
"4056","-18.97763"
"4093","-18.71593"
"4122","-18.51379"
"4159","-18.37038"
"4193","-18.26904"
"4225","-18.19946"
"4258","-18.16988"
"4292","-18.2104"
"4327","-18.36556"
"4360","-18.67185"
"4393","-19.13191"
"4428","-19.71342"
"4459","-20.37073"
"4490","-21.0605"
"4523","-21.7442"
"4559","-22.38626"
"4593","-22.95633"
"4625","-23.44119"
"4657","-23.8528"
"4691","-24.20285"
"4724","-24.46173"
"4768","-24.5654"
"4791","-24.45378"
"4824","-24.05569"
"4859","-23.24048"
"4890","-21.83603"
"4923","-19.71701"
"4957","-16.88989"
"4993","-13.50923"
"5024","-9.806747"
"5057","-5.996651"
"5090","-2.221313"
"5123","1.454567"
"5155","5.001892"
