"Time (ms)","Centre de gravité"
"-40","0"
"-6","-0.01382446"
"27","0.01126099"
"60","0.1111298"
"94","0.3062744"
"127","0.5596924"
"160","0.7394562"
"194","0.6638489"
"227","0.2113495"
"260","-0.6281281"
"294","-1.748398"
"327","-2.878937"
"360","-3.546707"
"394","-3.163391"
"427","-1.260956"
"460","2.262329"
"494","7.073624"
"527","12.54688"
"560","18.01038"
"594","22.97502"
"627","27.24095"
"660","30.84966"
"694","33.94182"
"727","36.62218"
"760","38.91982"
"794","40.83894"
"827","42.39211"
"860","43.60594"
"894","44.54942"
"927","45.31215"
"960","45.94106"
"994","46.45372"
"1027","46.87703"
"1060","47.2144"
"1094","47.42467"
"1127","47.46788"
"1160","47.33904"
"1194","47.07329"
"1227","46.75356"
"1260","46.47993"
"1294","46.30562"
"1327","46.22581"
"1360","46.22203"
"1394","46.2957"
"1427","46.46526"
"1460","46.73033"
"1494","47.03477"
"1527","47.29091"
"1560","47.44878"
"1594","47.51747"
"1627","47.53035"
"1660","47.51595"
"1694","47.49162"
"1727","47.46587"
"1760","47.44237"
"1794","47.4225"
"1827","47.40636"
"1860","47.39256"
"1894","47.37791"
"1927","47.35847"
"1960","47.33305"
"1994","47.30846"
"2027","47.30479"
"2060","47.35722"
"2094","47.50465"
"2127","47.75423"
"2160","48.04332"
"2194","48.26247"
"2227","48.32875"
"2260","48.22023"
"2294","47.96898"
"2327","47.65538"
"2360","47.36678"
"2394","47.12727"
"2427","46.89085"
"2460","46.61333"
"2494","46.31801"
"2527","46.07756"
"2560","45.94032"
"2594","45.90309"
"2627","45.94121"
"2660","46.0287"
"2694","46.12297"
"2727","46.15709"
"2760","46.09273"
"2794","45.96812"
"2827","45.86046"
"2860","45.8376"
"2894","45.9615"
"2927","46.2852"
"2960","46.82039"
"2994","47.52031"
"3027","48.2809"
"3060","48.95204"
"3094","49.39528"
"3127","49.5428"
"3160","49.38301"
"3194","48.9319"
"3227","48.25963"
"3260","47.50475"
"3294","46.81972"
"3327","46.32088"
"3360","46.07848"
"3394","46.1003"
"3427","46.31252"
"3460","46.56514"
"3494","46.69215"
"3527","46.61656"
"3560","46.39998"
"3594","46.1721"
"3627","46.02058"
"3660","45.95601"
"3694","45.94905"
"3727","45.96788"
"3760","45.99174"
"3794","46.01213"
"3827","46.02922"
"3860","46.04729"
"3894","46.0703"
"3927","46.09752"
"3960","46.11903"
"3994","46.1122"
"4027","46.04308"
"4060","45.88081"
"4094","45.63597"
"4127","45.39674"
"4160","45.29253"
"4194","45.38698"
"4227","45.61684"
"4260","45.85258"
"4294","46.00511"
"4327","46.06194"
"4360","46.05135"
"4394","46.00618"
"4427","45.95293"
"4460","45.91594"
"4494","45.92622"
"4527","46.02385"
"4560","46.24229"
"4594","46.56328"
"4627","46.86696"
"4660","46.95052"
"4694","46.62389"
"4727","45.79869"
"4760","44.5143"
"4794","42.9352"
"4827","41.39049"
"4860","40.43742"
"4894","40.77538"
"4927","42.92735"
"4960","46.91862"
"4994","52.24812"
"5027","58.1739"
"5060","64.06953"
"5094","69.6046"
"5127","74.70021"
"5160","79.37163"
"5194","83.60988"
"5227","87.37761"
"5260","90.66478"
"5294","93.52028"
"5327","96.02745"
"5360","98.2386"
"5394","100.1379"
"5427","101.6774"
"5460","102.8253"
"5494","103.5771"
"5527","103.9708"
"5560","104.1017"
"5594","104.0916"
"5627","104.0382"
"5660","103.9956"
"5694","103.9799"
"5727","103.9817"
"5760","103.9731"
"5794","103.9138"
"5827","103.7634"
"5860","103.513"
"5894","103.2161"
"5927","102.9588"
"5960","102.7837"
"5994","102.6675"
"6027","102.5682"
"6060","102.4801"
"6094","102.4451"
"6127","102.49"
"6160","102.5776"
"6194","102.6556"
"6227","102.7202"
