"Time (ms)","Centre de gravité"
"32","0"
"64","-0.00843811"
"100","-0.001602173"
"131","0.04119873"
"167","0.1467896"
"201","0.3396606"
"232","0.6171265"
"268","0.9270172"
"300","1.194901"
"336","1.380875"
"367","1.484726"
"399","1.523178"
"434","1.565369"
"466","1.761917"
"502","2.285812"
"533","3.27269"
"566","4.816589"
"599","6.976044"
"633","9.758179"
"669","13.0701"
"700","16.69666"
"733","20.3577"
"767","23.7991"
"799","26.86559"
"834","29.52013"
"867","31.80568"
"900","33.79642"
"931","35.56097"
"965","37.14648"
"1000","38.59064"
"1034","39.92274"
"1066","41.14316"
"1100","42.21751"
"1131","43.10239"
"1165","43.78056"
"1198","44.27052"
"1232","44.62015"
"1265","44.90463"
"1298","45.19208"
"1332","45.48843"
"1363","45.74658"
"1398","45.93178"
"1431","46.0499"
"1462","46.12233"
"1497","46.15854"
"1531","46.14693"
"1564","46.05995"
"1598","45.87166"
"1631","45.58888"
"1666","45.27399"
"1701","45.01186"
"1730","44.84203"
"1763","44.74028"
"1798","44.65685"
"1831","44.5563"
"1866","44.44237"
"1897","44.37402"
"1931","44.46948"
"1962","44.88176"
"1995","45.71921"
"2029","46.93686"
"2061","48.33739"
"2098","49.73445"
"2129","51.07463"
"2162","52.38702"
"2196","53.6936"
"2228","54.98407"
"2263","56.22171"
"2297","57.35516"
"2329","58.34427"
"2364","59.18597"
"2396","59.90286"
"2430","60.50317"
"2461","60.96014"
"2496","61.23172"
"2528","61.29596"
"2559","61.16095"
"2595","60.85791"
"2628","60.44357"
"2662","59.97894"
"2696","59.49609"
"2728","59.01096"
"2762","58.54172"
"2794","58.10226"
"2830","57.71771"
"2861","57.42941"
"2895","57.25977"
"2927","57.20383"
"2959","57.26212"
"2993","57.45868"
"3025","57.82065"
"3058","58.34467"
"3095","58.99619"
"3126","59.73816"
"3161","60.54199"
"3193","61.36819"
"3228","62.15424"
"3260","62.84525"
"3294","63.42908"
"3326","63.93967"
"3361","64.43671"
"3393","64.96088"
"3426","65.50552"
"3459","66.04184"
"3494","66.5625"
"3525","67.09457"
"3558","67.6622"
"3591","68.25095"
"3626","68.82028"
"3660","69.33786"
"3693","69.79126"
"3727","70.16138"
"3761","70.41272"
"3793","70.52844"
"3827","70.52118"
"3863","70.40579"
"3891","70.18713"
"3926","69.88437"
"3959","69.55984"
"3993","69.29636"
"4024","69.13571"
"4056","69.06189"
"4093","69.03601"
"4122","69.0271"
"4159","69.02014"
"4193","69.01208"
"4225","69.00574"
"4258","69.00546"
"4292","69.01517"
"4327","69.03708"
"4360","69.07056"
"4393","69.11212"
"4428","69.15634"
"4459","69.19669"
"4490","69.22592"
"4523","69.23779"
"4559","69.22992"
"4593","69.20618"
"4625","69.17737"
"4657","69.16049"
"4691","69.17657"
"4724","69.24582"
"4768","69.37543"
"4791","69.56161"
"4824","69.85083"
"4859","70.41968"
"4890","71.54437"
"4923","73.41699"
"4957","75.96191"
"4993","78.87601"
"5024","81.854"
"5057","84.72147"
"5090","87.3963"
"5123","89.81677"
"5155","91.92279"
"5187","93.6861"
"5222","95.13068"
"5256","96.30307"
"5287","97.24219"
"5321","97.98627"
"5357","98.57898"
"5391","99.06232"
"5422","99.46786"
"5456","99.79358"
"5490","100.0072"
"5522","100.0966"
"5555","100.0926"
"5590","100.0467"
"5621","100.0103"
"5656","100.0278"
"5687","100.1289"
"5720","100.3067"
"5754","100.5016"
"5789","100.6513"
"5822","100.7927"
"5856","101.0916"
"5887","101.7299"
"5922","102.7632"
"5954","104.0893"
"5988","105.5124"
"6021","106.8541"
"6054","108.0575"
"6086","109.1737"
"6120","110.2542"
"6154","111.2988"
"6188","112.2957"
"6220","113.2679"
"6257","114.2558"
"6286","115.2641"
"6322","116.2721"
"6358","117.2946"
"6387","118.3826"
"6421","119.5594"
"6453","120.7922"
"6485","122.0172"
"6518","123.1755"
"6552","124.2445"
"6585","125.2542"
"6620","126.2476"
"6654","127.2129"
"6686","128.0865"
"6719","128.8198"
"6752","129.4158"
"6785","129.924"
"6822","130.4188"
"6851","130.957"
"6884","131.5469"
"6920","132.1638"
"6952","132.777"
"6986","133.3692"
"7019","133.9536"
"7050","134.5662"
"7086","135.2085"
"7117","135.8125"
"7150","136.305"
"7185","136.675"
"7218","136.9421"
"7254","137.0901"
"7285","137.0934"
"7319","136.9991"
"7353","136.9146"
"7384","136.8963"
"7417","136.9047"
"7452","136.8774"
"7485","136.7934"
"7520","136.6433"
"7550","136.3993"
"7585","136.06"
"7619","135.7144"
"7653","135.5359"
"7684","135.7108"
"7717","136.3626"
"7753","137.4769"
"7784","138.8562"
"7819","140.191"
"7850","141.2181"
"7885","141.8318"
"7918","142.0833"
"7957","142.1039"
"7986","142.0239"
"8017","141.9369"
"8051","141.9014"
"8083","141.9539"
"8114","142.1142"
"8150","142.3717"
"8182","142.6711"
"8216","142.9489"
"8251","143.2043"
"8283","143.5108"
"8314","143.9497"
"8350","144.5298"
"8382","145.1809"
"8418","145.8389"
"8450","146.5034"
"8482","147.1827"
"8514","147.8385"
"8548","148.434"
"8582","148.9831"
"8614","149.5057"
"8650","149.9751"
"8682","150.3318"
"8715","150.5404"
"8750","150.6207"
"8782","150.5891"
"8815","150.3971"
"8849","149.9905"
"8883","149.4165"
"8916","148.827"
"8946","148.3719"
"8981","148.1046"
"9016","147.9883"
"9047","147.9581"
"9081","147.9638"
"9113","147.9845"
"9149","148.029"
"9180","148.1271"
"9217","148.313"
"9247","148.5907"
"9279","148.9067"
"9314","149.1758"
"9346","149.3476"
"9379","149.4302"
"9415","149.4632"
"9445","149.4929"
"9482","149.5655"
"9514","149.7232"
"9546","150.0148"
"9580","150.5473"
"9613","151.5255"
"9649","153.1706"
"9680","155.5538"
"9713","158.5107"
"9746","161.7201"
"9779","164.878"
"9813","167.812"
"9846","170.4618"
"9884","172.8133"
"9911","174.8615"
"9946","176.587"
"9980","177.9511"
"10012","178.9392"
"10044","179.6071"
"10077","180.057"
"10111","180.3613"
"10146","180.5374"
"10179","180.5975"
"10210","180.5816"
"10246","180.542"
"10278","180.5229"
"10315","180.5477"
"10345","180.5999"
"10377","180.6208"
"10410","180.557"
"10443","180.401"
"10481","180.1637"
"10511","179.8574"
"10544","179.5334"
"10578","179.2821"
"10610","179.1764"
"10645","179.2419"
"10678","179.456"
"10711","179.7463"
"10746","180.0266"
"10776","180.2653"
"10810","180.5029"
"10845","180.7971"
"10876","181.1626"
"10914","181.571"
"10943","181.9848"
"10978","182.3588"
"11010","182.6423"
"11043","182.8171"
"11077","182.9078"
"11108","182.9466"
"11144","182.9439"
"11177","182.8828"
"11210","182.7333"
"11241","182.4884"
"11277","182.1989"
