"Time (ms)","Centre de gravité"
"-6","0.01577827"
"27","0.02429199"
"60","0.04511959"
"94","0.06805173"
"127","0.08066183"
"160","0.108068"
"194","0.1991706"
"227","0.3262887"
"260","0.4437529"
"294","0.5111448"
"327","0.4933838"
"360","0.4236215"
"394","0.536778"
"427","0.9031195"
"460","1.301312"
"494","1.577582"
"527","1.668597"
"560","1.590365"
"594","1.412011"
"627","1.212898"
"660","1.044361"
"694","0.91563"
"727","0.8076016"
"760","0.7008963"
"794","0.5903772"
"827","0.4799252"
"860","0.3794614"
"894","0.300216"
"927","0.2410339"
"960","0.1916844"
"994","0.1494569"
"1027","0.1153658"
"1060","0.08352379"
"1094","0.05914694"
"1127","0.07302588"
"1160","0.106563"
"1194","0.1244876"
"1227","0.1127004"
"1260","0.07588313"
"1294","0.0394632"
"1327","0.06804284"
"1360","0.1338843"
"1394","0.2094687"
"1427","0.2869695"
"1460","0.3535506"
"1494","0.391951"
"1527","0.3936784"
"1560","0.3665578"
"1594","0.3280306"
"1627","0.2920498"
"1660","0.2603725"
"1694","0.2272063"
"1727","0.1914961"
"1760","0.1600071"
"1794","0.1382011"
"1827","0.1244637"
"1860","0.1140077"
"1894","0.1016454"
"1927","0.0821541"
"1960","0.0540695"
"1994","0.02027331"
"2027","0.01770123"
"2060","0.061094"
"2094","0.108223"
"2127","0.150806"
"2160","0.1841509"
"2194","0.2182143"
"2227","0.2619814"
"2260","0.3083069"
"2294","0.3467897"
"2327","0.3756857"
"2360","0.4040627"
"2394","0.4419549"
"2427","0.4898742"
"2460","0.5404607"
"2494","0.5845875"
"2527","0.616652"
"2560","0.635658"
"2594","0.6447973"
"2627","0.6481056"
"2660","0.6408491"
"2694","0.6061184"
"2727","0.530977"
"2760","0.4268302"
"2794","0.3231622"
"2827","0.2441909"
"2860","0.2010215"
"2894","0.1991124"
"2927","0.2326308"
"2960","0.2780905"
"2994","0.3110068"
"3027","0.3160706"
"3060","0.2934628"
"3094","0.2647874"
"3127","0.2583574"
"3160","0.281835"
"3194","0.3188656"
"3227","0.3457479"
"3260","0.3478538"
"3294","0.3261767"
"3327","0.291302"
"3360","0.2596494"
"3394","0.2425677"
"3427","0.2275098"
"3460","0.1951481"
"3494","0.1536821"
"3527","0.127548"
"3560","0.1071105"
"3594","0.07228182"
"3627","0.03280098"
"3660","0.03261834"
"3694","0.05916883"
"3727","0.07479643"
"3760","0.07279824"
"3794","0.05612946"
"3827","0.03454382"
"3860","0.01767735"
"3894","0.01087485"
"3927","0.01173202"
"3960","0.02005459"
"3994","0.03946221"
"4027","0.06715013"
"4060","0.09323124"
"4094","0.1003194"
"4127","0.07486379"
"4160","0.03372787"
"4194","0.05097868"
"4227","0.06988075"
"4260","0.05845325"
"4294","0.03237856"
"4327","0.01009496"
"4360","0.009040621"
"4394","0.01543113"
"4427","0.021969"
"4460","0.03502333"
"4494","0.05615805"
"4527","0.08244408"
"4560","0.1070064"
"4594","0.1132584"
"4627","0.08165672"
"4660","0.06923744"
"4694","0.1854702"
"4727","0.3251112"
"4760","0.4352568"
"4794","0.4714512"
"4827","0.3754459"
"4860","0.0925558"
"4894","0.3754692"
"4927","0.9237176"
"4960","1.400109"
"4994","1.689366"
"5027","1.77331"
"5060","1.715136"
"5094","1.598345"
"5127","1.474678"
"5160","1.352605"
"5194","1.221278"
"5227","1.078107"
"5260","0.9356455"
"5294","0.8105261"
"5327","0.7082974"
"5360","0.617767"
"5394","0.5238082"
"5427","0.4243802"
"5460","0.3327146"
"5494","0.2739936"
"5527","0.2680274"
"5560","0.2933553"
"5594","0.3127384"
"5627","0.3079546"
"5660","0.2772673"
"5694","0.2285964"
"5727","0.17303"
"5760","0.1162899"
"5794","0.06295548"
"5827","0.06130962"
"5860","0.112487"
"5894","0.1558012"
"5927","0.1858874"
"5960","0.2127008"
"5994","0.2408111"
"6027","0.2691113"
"6060","0.2970802"
"6094","0.3300435"
"6127","0.3738131"
"6160","0.4263932"
"6194","0.4834459"
"6227","0.5404754"
"6260","0.5902824"
"6294","0.627403"
"6327","0.6530155"
"6360","0.6705196"
"6394","0.6795535"
"6427","0.6741948"
"6460","0.6457141"
"6494","0.5886281"
"6527","0.5028802"
"6560","0.3909674"
"6594","0.2571965"
"6627","0.1138033"
"6660","0.03185903"
"6694","0.1274806"
"6727","0.1878624"
"6760","0.2135284"
"6794","0.2175134"
"6827","0.2096259"
"6860","0.2025001"
"6894","0.2113596"
"6927","0.2404637"
"6960","0.2846018"
"6994","0.3326917"
"7027","0.3724642"
"7060","0.3956354"
"7094","0.4004413"
"7127","0.391268"
"7160","0.3713089"
"7194","0.3384744"
"7227","0.2947635"
"7260","0.2509756"
"7294","0.2169681"
"7327","0.1951474"
"7360","0.1850873"
"7394","0.1889101"
"7427","0.2039665"
"7460","0.2152865"
"7494","0.2083764"
"7527","0.182477"
"7560","0.1489791"
"7594","0.1181234"
"7627","0.0900028"
"7660","0.06589499"
"7694","0.05577359"
"7727","0.06418733"
"7760","0.08044156"
"7794","0.08973887"
"7827","0.09127392"
"7860","0.0946409"
"7894","0.09956662"
"7927","0.09510163"
"7960","0.07625771"
"7994","0.0451744"
"8027","0.02004808"
"8060","0.05906015"
"8094","0.1047299"
"8127","0.1369997"
"8160","0.1470575"
"8194","0.1381288"
"8227","0.1238092"
"8260","0.1125828"
"8294","0.1044741"
"8327","0.1009738"
"8360","0.1059733"
"8394","0.1177142"
"8427","0.1277117"
"8460","0.1286129"
"8494","0.1203967"
"8527","0.110196"
"8560","0.1058738"
"8594","0.1081281"
"8627","0.1111555"
"8660","0.1098299"
"8694","0.1012776"
"8727","0.0835775"
"8760","0.06065316"
"8794","0.05052709"
"8827","0.06743775"
"8860","0.08606352"
"8894","0.0837678"
"8927","0.05993159"
"8960","0.02983786"
"8994","0.007226538"
"9027","0.004530907"
"9060","0.008185526"
"9094","0.007836466"
"9127","0.006299916"
"9160","0.004780499"
"9194","0.003383602"
"9227","0.001904428"
"9260","0.0004756182"
"9294","0.001772376"
"9327","0.004215643"
"9360","0.01081901"
"9394","0.0263255"
"9427","0.05281253"
"9460","0.08521697"
"9494","0.1081496"
"9527","0.1058216"
"9560","0.07951755"
"9594","0.04735383"
"9627","0.02724868"
"9660","0.02596698"
"9694","0.0375567"
"9727","0.05459302"
"9760","0.06767223"
"9794","0.06802194"
"9827","0.05503337"
"9860","0.0361537"
"9894","0.01960694"
"9927","0.01010001"
"9960","0.006569598"
"9994","0.01148688"
"10027","0.03608198"
"10060","0.0760991"
"10094","0.1198879"
"10127","0.1498195"
"10160","0.1498973"
"10194","0.1071585"
"10227","0.1055297"
"10260","0.3041076"
"10294","0.5757759"
"10327","0.8396097"
"10360","1.038858"
"10394","1.15074"
"10427","1.186112"
"10460","1.175274"
"10494","1.149146"
"10527","1.123276"
"10560","1.09597"
"10594","1.057817"
"10627","1.00063"
"10660","0.9265237"
"10694","0.8497818"
"10727","0.784499"
"10760","0.7319478"
"10794","0.6792573"
"10827","0.6106187"
"10860","0.5257656"
"10894","0.4468799"
"10927","0.4038368"
"10960","0.4156316"
"10994","0.4817544"
"11027","0.5775512"
"11060","0.661166"
"11094","0.6983485"
"11127","0.680115"
"11160","0.616453"
"11194","0.5315351"
"11227","0.4609877"
"11260","0.4198975"
"11294","0.3837196"
"11327","0.3280879"
"11360","0.2587642"
"11394","0.1945862"
"11427","0.1632673"
"11460","0.1909784"
"11494","0.2456234"
"11527","0.2863194"
"11560","0.2969883"
"11594","0.2789024"
"11627","0.248605"
"11660","0.2281535"
"11694","0.2257096"
"11727","0.2303564"
"11760","0.2306418"
"11794","0.2268153"
"11827","0.2227418"
"11860","0.2161281"
"11894","0.2020336"
"11927","0.1785502"
"11960","0.1466082"
"11994","0.1138065"
"12027","0.09061675"
"12060","0.07872263"
"12094","0.09401791"
"12127","0.1310115"
"12160","0.1601956"
"12194","0.1681651"
"12227","0.1534271"
"12260","0.1198026"
"12294","0.07477023"
"12327","0.02680401"
"12360","0.01907434"
"12394","0.05979327"
"12427","0.09244244"
"12460","0.113795"
"12494","0.1245949"
"12527","0.127776"
"12560","0.1254565"
"12594","0.1217656"
"12627","0.1218225"
"12660","0.1209974"
"12694","0.107457"
"12727","0.0821574"
"12760","0.06344584"
"12794","0.06468013"
"12827","0.07190394"
"12860","0.06794981"
"12894","0.04815587"
"12927","0.0194907"
"12960","0.03151334"
"12994","0.07137568"
"13027","0.1061604"
"13060","0.1284758"
"13094","0.1389968"
"13127","0.1402737"
"13160","0.1337411"
"13194","0.1224423"
"13227","0.1073581"
"13260","0.08615091"
"13294","0.06005989"
"13327","0.03629258"
"13360","0.02701241"
"13394","0.04124312"
"13427","0.06310549"
"13460","0.0717181"
"13494","0.05015878"
"13527","0.01500986"
"13560","0.05762124"
"13594","0.09174619"
"13627","0.1113406"
"13660","0.1291338"
"13694","0.1492996"
"13727","0.1691481"
"13760","0.1802135"
"13794","0.1768086"
"13827","0.1612749"
"13860","0.140044"
"13894","0.1225756"
"13927","0.1150231"
"13960","0.1072028"
"13994","0.081071"
"14027","0.04927425"
"14060","0.07177151"
"14094","0.1064374"
"14127","0.1215907"
"14160","0.1177815"
"14194","0.09644108"
"14227","0.06292541"
"14260","0.02926981"
"14294","0.003547761"
"14327","0.01902121"
"14360","0.04253503"
"14394","0.06857987"
"14427","0.08726021"
"14460","0.0891948"
"14494","0.08551583"
"14527","0.09572209"
"14560","0.1108201"
"14594","0.1165536"
"14627","0.1125232"
"14660","0.1063501"
"14694","0.1011856"
"14727","0.08612316"
"14760","0.05694145"
"14794","0.0346836"
"14827","0.0397952"
"14860","0.04089691"
"14894","0.01536742"
"14927","0.04780382"
"14960","0.1297476"
"14994","0.1963122"
"15027","0.2076008"
"15060","0.1430633"
"15094","0.06896459"
"15127","0.2133544"
"15160","0.3781997"
"15194","0.4647586"
"15227","0.4054174"
"15260","0.1906909"
"15294","0.3660891"
"15327","0.9007317"
"15360","1.424366"
"15394","1.796838"
"15427","1.952957"
"15460","1.902957"
"15494","1.704991"
"15527","1.4356"
"15560","1.162245"
"15594","0.916162"
"15627","0.681509"
"15660","0.4350356"
"15694","0.1921856"
"15727","0.02351813"
"15760","0.1684057"
"15794","0.2778063"
"15827","0.3574156"
"15860","0.4099099"
"15894","0.4293729"
"15927","0.4128685"
"15960","0.3645484"
"15994","0.2906879"
"16027","0.1979383"
"16060","0.09642898"
"16094","0.06547466"
"16127","0.1833509"
"16160","0.3237512"
"16194","0.4564619"
"16227","0.5477414"
"16260","0.5649003"
"16294","0.5020845"
"16327","0.3866821"
"16360","0.2571019"
"16394","0.1433599"
"16427","0.07766662"
"16460","0.09175248"
"16494","0.1247462"
"16527","0.1471109"
"16560","0.1588362"
"16594","0.1573271"
"16627","0.146429"
"16660","0.1367832"
"16694","0.1308456"
"16727","0.1280252"
"16760","0.1288521"
"16794","0.1292798"
"16827","0.1322555"
"16860","0.1441929"
"16894","0.1556767"
"16927","0.153861"
"16960","0.1408772"
"16994","0.130941"
"17027","0.1308761"
"17060","0.1316233"
"17094","0.1245409"
"17127","0.1092987"
"17160","0.09236602"
"17194","0.08022727"
"17227","0.07404375"
"17260","0.06862025"
"17294","0.05625374"
"17327","0.03826196"
"17360","0.02158208"
"17394","0.01076581"
"17427","0.002915227"
"17460","0.0116471"
"17494","0.03739719"
"17527","0.07142634"
"17560","0.1001921"
"17594","0.1079727"
"17627","0.09204969"
"17660","0.06420919"
"17694","0.03776057"
"17727","0.0190078"
"17760","0.008415166"
"17794","0.004470296"
"17827","0.0037782"
"17860","0.003003312"
"17894","0.002563228"
"17927","0.002533422"
"17960","0.002230027"
"17994","0.01329387"
"18027","0.03586383"
"18060","0.06626207"
"18094","0.0920001"
"18127","0.1003446"
"18160","0.09194212"
"18194","0.07566946"
"18227","0.05600316"
"18260","0.03603137"
"18294","0.01973561"
"18327","0.009035333"
"18360","0.00370976"
"18394","0.002124816"
"18427","0.001387805"
"18460","0.0004704421"
"18494","0.000622345"
"18527","0.002017241"
"18560","0.004151046"
"18594","0.006825388"
"18627","0.008621955"
"18660","0.006299065"
"18694","0.005621997"
"18727","0.03200855"
"18760","0.07334948"
"18794","0.1184726"
"18827","0.1486199"
"18860","0.1497388"
"18894","0.1210007"
"18927","0.07565596"
"18960","0.0427567"
"18994","0.06067592"
"19027","0.09344649"
"19060","0.1132923"
"19094","0.113876"
"19127","0.1042535"
"19160","0.09875648"
"19194","0.09716661"
"19227","0.08854304"
"19260","0.07441067"
"19294","0.06719167"
"19327","0.06360307"
"19360","0.056148"
"19394","0.04986904"
"19427","0.05297842"
"19460","0.06695015"
"19494","0.08503512"
"19527","0.09916404"
"19560","0.1083271"
"19594","0.1168154"
"19627","0.1215461"
"19660","0.1129202"
"19694","0.09492751"
"19727","0.08963342"
"19760","0.1052901"
"19794","0.125165"
"19827","0.1380072"
"19860","0.1457891"
"19894","0.1566948"
"19927","0.1700572"
"19960","0.1747952"
"19994","0.1670967"
"20027","0.1526048"
"20060","0.1362192"
"20094","0.1174009"
"20127","0.09133648"
"20160","0.06968018"
"20194","0.07712171"
"20227","0.09513649"
"20260","0.1018543"
"20294","0.08958329"
"20327","0.0605261"
"20360","0.03148318"
"20394","0.03427081"
"20427","0.05651348"
"20460","0.07393659"
"20494","0.08041134"
"20527","0.07820645"
"20560","0.07547298"
"20594","0.08148411"
"20627","0.1029787"
"20660","0.1356712"
"20694","0.1663346"
"20727","0.1840306"
"20760","0.1832755"
"20794","0.161095"
"20827","0.117558"
"20860","0.05968853"
"20894","0.0041042"
"20927","0.05385157"
"20960","0.08925349"
"20994","0.1021739"
"21027","0.1003193"
"21060","0.09788036"
"21094","0.09584758"
"21127","0.08284174"
"21160","0.0557926"
"21194","0.02555009"
"21227","0.003337615"
"21260","0.007199978"
"21294","0.006417507"
"21327","0.007086979"
"21360","0.03089711"
"21394","0.06148466"
"21427","0.08439084"
"21460","0.08497864"
"21494","0.06607226"
"21527","0.05560511"
"21560","0.07580604"
"21594","0.1050058"
"21627","0.1240423"
"21660","0.1254856"
"21694","0.111505"
"21727","0.09222664"
"21760","0.07989798"
"21794","0.08037809"
"21827","0.08946019"
"21860","0.09859515"
"21894","0.1029901"
"21927","0.10231"
"21960","0.0989462"
"21994","0.1012476"
"22027","0.1181566"
"22060","0.1432848"
"22094","0.1644042"
"22127","0.1826997"
"22160","0.2058971"
"22194","0.2364173"
"22227","0.2728323"
"22260","0.3090676"
"22294","0.3382237"
"22327","0.3586953"
"22360","0.3737046"
"22394","0.3858249"
"22427","0.3920062"
"22460","0.385008"
"22494","0.3583713"
"22527","0.3118739"
"22560","0.2548924"
"22594","0.201454"
"22627","0.1602148"
"22660","0.1288475"
"22694","0.1019272"
"22727","0.08028351"
"22760","0.06878409"
"22794","0.06787947"
"22827","0.06986808"
"22860","0.06589999"
"22894","0.0589592"
"22927","0.06416419"
"22960","0.07617801"
"22994","0.07612982"
"23027","0.06657796"
"23060","0.06860086"
"23094","0.0969694"
"23127","0.1428876"
"23160","0.1822409"
"23194","0.2018929"
"23227","0.2128963"
"23260","0.2354063"
"23294","0.2774984"
"23327","0.327004"
"23360","0.3592685"
"23394","0.360137"
"23427","0.337252"
"23460","0.3011968"
"23494","0.2523219"
"23527","0.1960741"
"23560","0.1510098"
"23594","0.1258617"
"23627","0.1078099"
"23660","0.08292803"
"23694","0.07739174"
"23727","0.1255934"
"23760","0.1788297"
"23794","0.2081387"
"23827","0.2067994"
"23860","0.1716646"
"23894","0.1027426"
"23927","0.03324833"
"23960","0.09347589"
"23994","0.1478811"
"24027","0.1577524"
"24060","0.1255649"
"24094","0.06952645"
"24127","0.04235465"
"24160","0.0838109"
"24194","0.1111363"
"24227","0.1014694"
"24260","0.08681536"
"24294","0.1258449"
"24327","0.1735592"
"24360","0.1875"
"24394","0.1650618"
"24427","0.1385111"
"24460","0.1598705"
"24494","0.2120394"
"24527","0.2439546"
"24560","0.2358944"
"24594","0.1952082"
"24627","0.1431004"
"24660","0.1265734"
"24694","0.1883449"
"24727","0.2788005"
"24760","0.3436519"
"24794","0.3523742"
"24827","0.3074727"
"24860","0.2379235"
"24894","0.1706916"
"24927","0.1170213"
"24960","0.09156521"
"24994","0.09861271"
"25027","0.09980886"
"25060","0.07717824"
"25094","0.04589937"
"25127","0.04063614"
"25160","0.06754562"
"25194","0.1007487"
"25227","0.1350925"
"25260","0.1675412"
"25294","0.1902342"
"25327","0.19546"
"25360","0.1819452"
"25394","0.1567775"
"25427","0.1261769"
"25460","0.09268479"
"25494","0.06141373"
"25527","0.03997096"
"25560","0.03348065"
"25594","0.04119233"
"25627","0.05634044"
"25660","0.06700089"
"25694","0.06157408"
"25727","0.03695715"
"25760","0.005356483"
"25794","0.04224404"
"25827","0.07550129"
"25860","0.09535855"
"25894","0.1048204"
"25927","0.1099682"
"25960","0.101819"
"25994","0.06232838"
"26027","0.008098412"
"26060","0.07122111"
"26094","0.0996752"
"26127","0.08376091"
"26160","0.03911251"
"26194","0.03861359"
"26227","0.1078202"
"26260","0.175284"
"26294","0.215993"
"26327","0.2106786"
"26360","0.1646549"
"26394","0.1144564"
"26427","0.09772594"
"26460","0.09240569"
"26494","0.07328145"
"26527","0.05915267"
"26560","0.07332847"
"26594","0.1005629"
"26627","0.1300362"
"26660","0.162117"
"26694","0.1950798"
"26727","0.2227537"
"26760","0.2377813"
"26794","0.2349676"
"26827","0.209675"
"26860","0.1559993"
"26894","0.08181605"
"26927","0.05962801"
"26960","0.1243984"
"26994","0.1877951"
"27027","0.2417506"
"27060","0.2876337"
"27094","0.3218297"
"27127","0.3410371"
"27160","0.348231"
"27194","0.3504169"
"27227","0.3497158"
"27260","0.3392686"
"27294","0.311157"
"27327","0.2658507"
"27360","0.2153483"
"27394","0.1737493"
"27427","0.1415587"
"27460","0.1183099"
"27494","0.1129292"
"27527","0.1169222"
"27560","0.1067183"
"27594","0.07940328"
"27627","0.05652663"
"27660","0.06126831"
"27694","0.09551453"
"27727","0.1487195"
"27760","0.2027087"
"27794","0.2428791"
"27827","0.2735965"
"27860","0.3093607"
"27894","0.3552811"
"27927","0.4050181"
"27960","0.4466649"
"27994","0.4691541"
"28027","0.4687716"
"28060","0.4504213"
"28094","0.4220841"
"28127","0.391172"
"28160","0.3649202"
"28194","0.3493399"
"28227","0.3444404"
"28260","0.3413159"
"28294","0.3287656"
"28327","0.2996608"
"28360","0.2548672"
"28394","0.2066998"
"28427","0.1700678"
"28460","0.1409798"
"28494","0.1064686"
"28527","0.06836428"
"28560","0.05017504"
"28594","0.07718831"
"28627","0.1092309"
"28660","0.1142163"
"28694","0.0837155"
"28727","0.03592223"
"28760","0.01921561"
"28794","0.03217252"
"28827","0.04696027"
"28860","0.05798332"
"28894","0.05028073"
"28927","0.04970247"
"28960","0.07563977"
"28994","0.0998554"
"29027","0.110757"
"29060","0.1101411"
"29094","0.1074468"
"29127","0.1158429"
"29160","0.1424075"
"29194","0.1768779"
"29227","0.1988523"
"29260","0.1940399"
"29294","0.1636099"
"29327","0.1276749"
"29360","0.1211699"
"29394","0.1505951"
"29427","0.1822484"
"29460","0.1881047"
"29494","0.1613848"
"29527","0.1289951"
"29560","0.1392253"
"29594","0.1821419"
"29627","0.2128978"
"29660","0.19841"
"29694","0.1323148"
"29727","0.09779087"
"29760","0.1581089"
"29794","0.1593664"
"29827","0.0779544"
"29860","0.290579"
"29894","0.6399382"
"29927","0.9847656"
"29960","1.250558"
"29994","1.398005"
"30027","1.419314"
"30060","1.331855"
"30094","1.169944"
"30127","0.9771568"
"30160","0.8004791"
"30194","0.6713556"
"30227","0.5828848"
"30260","0.5026103"
"30294","0.4083388"
"30327","0.298719"
"30360","0.1853671"
"30394","0.08714185"
"30427","0.02008717"
"30460","0.01623209"
"30494","0.02634734"
"30527","0.03312324"
"30560","0.06661077"
"30594","0.1311757"
"30627","0.2234954"
"30660","0.3342855"
"30694","0.4386368"
"30727","0.5054246"
"30760","0.5177037"
"30794","0.4811541"
"30827","0.4136157"
"30860","0.3316717"
"30894","0.2484499"
"30927","0.1738603"
"30960","0.1123587"
"30994","0.06634627"
"31027","0.03968796"
"31060","0.04443453"
"31094","0.0821411"
"31127","0.1319119"
"31160","0.1781189"
"31194","0.216325"
"31227","0.2484329"
"31260","0.272726"
"31294","0.2831634"
"31327","0.2758435"
"31360","0.2524086"
"31394","0.220679"
"31427","0.1949171"
"31460","0.1868487"
"31494","0.1954135"
"31527","0.2138248"
"31560","0.235331"
"31594","0.2508313"
"31627","0.251566"
"31660","0.2360039"
"31694","0.2097936"
"31727","0.1787987"
"31760","0.1456799"
"31794","0.1128399"
"31827","0.08575793"
"31860","0.07198427"
"31894","0.07720801"
"31927","0.09619191"
"31960","0.1100169"
"31994","0.1008645"
"32027","0.06667712"
"32060","0.01916051"
"32094","0.03316623"
"32127","0.07954624"
"32160","0.1091635"
"32194","0.1067931"
"32227","0.06915759"
"32260","0.01051635"
"32294","0.05076776"
"32327","0.09499189"
"32360","0.1226384"
"32394","0.144823"
"32427","0.1693995"
"32460","0.1983215"
"32494","0.2329734"
"32527","0.271488"
"32560","0.3058221"
"32594","0.3277773"
"32627","0.3327025"
"32660","0.3233293"
"32694","0.3080181"
"32727","0.2858291"
"32760","0.24967"
"32794","0.2004621"
"32827","0.1449586"
"32860","0.09644753"
"32894","0.08407921"
"32927","0.09679061"
"32960","0.09875874"
"32994","0.08438601"
"33027","0.06014762"
"33060","0.04528207"
"33094","0.04893406"
"33127","0.06412116"
"33160","0.08936808"
"33194","0.1079013"
"33227","0.1099868"
"33260","0.09211813"
"33294","0.0596763"
"33327","0.02718201"
"33360","0.009642973"
"33394","0.02113071"
"33427","0.03987541"
"33460","0.05989385"
"33494","0.07429586"
"33527","0.07944506"
"33560","0.08365616"
"33594","0.09326059"
"33627","0.09856544"
"33660","0.09698083"
"33694","0.09660272"
"33727","0.09603908"
"33760","0.08383866"
"33794","0.0577847"
"33827","0.03053457"
"33860","0.02328334"
"33894","0.03892013"
"33927","0.05763819"
"33960","0.06961416"
"33994","0.06784135"
"34027","0.05464817"
"34060","0.04860437"
"34094","0.06577244"
"34127","0.08427456"
"34160","0.08217741"
"34194","0.05873834"
"34227","0.02917361"
"34260","0.007570336"
"34294","0.005524341"
"34327","0.008309176"
"34360","0.007431727"
"34394","0.005249295"
"34427","0.004089834"
"34460","0.009676248"
"34494","0.02177632"
"34527","0.03893121"
"34560","0.05729941"
"34594","0.06906508"
"34627","0.06704091"
"34660","0.05190136"
"34694","0.0320807"
"34727","0.02080578"
"34760","0.03623047"
"34794","0.06552571"
"34827","0.09083734"
"34860","0.09911481"
"34894","0.09099558"
"34927","0.07512077"
"34960","0.05553297"
"34994","0.0351049"
"35027","0.01796219"
"35060","0.006670833"
"35094","0.004100013"
"35127","0.006021795"
"35160","0.006715178"
"35194","0.006488616"
"35227","0.005662661"
"35260","0.00385954"
"35294","0.0009235682"
"35327","0.007957653"
"35360","0.02075844"
"35394","0.03859768"
"35427","0.05782545"
"35460","0.07063758"
"35494","0.06998062"
"35527","0.05769517"
"35560","0.04497942"
"35594","0.0356271"
"35627","0.01277439"
"35660","0.03508452"
"35694","0.08936486"
"35727","0.1215586"
"35760","0.1147053"
"35794","0.07303133"
"35827","0.01118014"
"35860","0.05925327"
"35894","0.126212"
"35927","0.1771837"
"35960","0.2007948"
"35994","0.1893823"
"36027","0.1434378"
"36060","0.1194645"
"36094","0.1992295"
"36127","0.2705127"
"36160","0.2305837"
"36194","0.04666335"
"36227","0.3290069"
"36260","0.7735786"
"36294","1.210612"
"36327","1.530173"
"36360","1.658584"
"36394","1.59558"
"36427","1.409961"
"36460","1.189166"
"36494","0.9895761"
"36527","0.8241313"
"36560","0.6811137"
"36594","0.5481095"
"36627","0.4232603"
"36660","0.319048"
"36694","0.2549595"
"36727","0.2324083"
"36760","0.2326261"
"36794","0.2441221"
"36827","0.2595815"
"36860","0.2600404"
"36894","0.234541"
"36927","0.193091"
"36960","0.1508827"
"36994","0.1171797"
"37027","0.09410861"
"37060","0.07522128"
"37094","0.05078329"
"37127","0.03261854"
"37160","0.06592832"
