"Time (ms)","Centre de gravité"
"64","0.05816045"
"100","0.07142583"
"131","0.08216097"
"167","0.08453031"
"201","0.08597378"
"232","0.09071162"
"268","0.08689641"
"300","0.07056259"
"336","0.04951848"
"367","0.02868954"
"399","0.01279402"
"434","0.04204356"
"466","0.1224718"
"502","0.2470763"
"533","0.4051645"
"566","0.5870641"
"599","0.7807742"
"633","0.9619618"
"669","1.094512"
"700","1.148922"
"733","1.119485"
"767","1.025985"
"799","0.9030035"
"834","0.7826349"
"867","0.6825516"
"900","0.6051122"
"931","0.5432233"
"965","0.4913189"
"1000","0.4500349"
"1034","0.4178956"
"1066","0.3877493"
"1100","0.3556336"
"1131","0.3281479"
"1165","0.3148571"
"1198","0.3131323"
"1232","0.309962"
"1265","0.2969716"
"1298","0.272535"
"1332","0.2328976"
"1363","0.1771461"
"1398","0.1164075"
"1431","0.06476243"
"1462","0.02653462"
"1497","0.009985059"
"1531","0.0420362"
"1564","0.08249459"
"1598","0.1226878"
"1631","0.1488492"
"1666","0.1523244"
"1701","0.1385283"
"1730","0.1201786"
"1763","0.1070401"
"1798","0.1075162"
"1831","0.1317462"
"1866","0.1926324"
"1897","0.3043421"
"1931","0.4694231"
"1962","0.667598"
"1995","0.8540692"
"2029","0.9756941"
"2061","1.009637"
"2098","0.9806939"
"2129","0.9314231"
"2162","0.8893019"
"2196","0.8611003"
"2228","0.8377415"
"2263","0.8013476"
"2297","0.7404183"
"2329","0.6588351"
"2364","0.5670522"
"2396","0.4723825"
"2430","0.3786373"
"2461","0.288975"
"2496","0.2092837"
"2528","0.1495957"
"2559","0.1214978"
"2595","0.1226289"
"2628","0.1333091"
"2662","0.1432926"
"2696","0.1511771"
"2728","0.1574256"
"2762","0.1658934"
"2794","0.1770265"
"2830","0.1827655"
"2861","0.1775721"
"2895","0.1633801"
"2927","0.1437174"
"2959","0.1221497"
"2993","0.1117933"
"3025","0.1345832"
"3058","0.1801407"
"3095","0.2218996"
"3126","0.2474252"
"3161","0.2557804"
"3193","0.2476749"
"3228","0.2239775"
"3260","0.1920897"
"3294","0.1645262"
"3326","0.1515104"
"3361","0.1536279"
"3393","0.160679"
"3426","0.1627986"
"3459","0.1625677"
"3494","0.1723204"
"3525","0.1946142"
"3558","0.2151963"
"3591","0.2199708"
"3626","0.205012"
"3660","0.1741473"
"3693","0.134553"
"3727","0.09364521"
"3761","0.0655668"
"3793","0.06992985"
"3827","0.08738512"
"3863","0.09828346"
"3891","0.1061806"
"3926","0.1120258"
"3959","0.1073223"
"3993","0.09598909"
"4024","0.08989474"
"4056","0.08390842"
"4093","0.06991783"
"4122","0.05199675"
"4159","0.0368585"
"4193","0.02578169"
"4225","0.01493701"
"4258","0.002171075"
"4292","0.02979457"
"4327","0.06985979"
"4360","0.1157435"
"4393","0.1570924"
"4428","0.1866438"
"4459","0.2027535"
"4490","0.2065439"
"4523","0.1992803"
"4559","0.1822609"
"4593","0.1587669"
"4625","0.1349261"
"4657","0.1144874"
"4691","0.09242491"
"4724","0.06215488"
"4768","0.04748337"
"4791","0.1047681"
"4824","0.2233747"
"4859","0.4196678"
"4890","0.6953308"
"4923","0.9968272"
"4957","1.242586"
"4993","1.384905"
"5024","1.430808"
"5057","1.412113"
"5090","1.356846"
"5123","1.281317"
"5155","1.191446"
"5187","1.087854"
"5222","0.9707183"
"5256","0.8434269"
"5287","0.7144988"
"5321","0.5934042"
"5357","0.4844368"
"5391","0.3855616"
"5422","0.2910572"
"5456","0.1982051"
"5490","0.1141593"
"5522","0.05248063"
"5555","0.02293397"
"5590","0.01684801"
"5621","0.01223097"
"5656","0.02354223"
"5687","0.04472663"
"5720","0.05648931"
"5754","0.05366837"
"5789","0.06726476"
"5822","0.1217807"
"5856","0.2117197"
"5887","0.3242908"
"5922","0.4263974"
"5954","0.4873003"
"5988","0.5004265"
"6021","0.4902492"
"6054","0.4919067"
"6086","0.5145453"
"6120","0.5370402"
"6154","0.5383264"
"6188","0.5193202"
"6220","0.4965695"
"6257","0.483184"
"6286","0.4823788"
"6322","0.4944893"
"6358","0.5164087"
"6387","0.5384296"
"6421","0.5497206"
"6453","0.5424796"
"6485","0.5137988"
"6518","0.4685968"
"6552","0.4206097"
"6585","0.3830035"
"6620","0.3535715"
"6654","0.3171173"
"6686","0.2664873"
"6719","0.211869"
"6752","0.1699906"
"6785","0.1517119"
"6822","0.15569"
"6851","0.170316"
"6884","0.1830938"
"6920","0.1873938"
"6952","0.1828679"
"6986","0.1769627"
"7019","0.1807234"
"7050","0.1922131"
"7086","0.1952048"
"7117","0.1805119"
"7150","0.1576861"
"7185","0.136886"
"7218","0.1174699"
"7254","0.1042404"
"7285","0.1066115"
"7319","0.1107297"
"7353","0.1079603"
"7384","0.107884"
